Genre,GenreLemma,Cluster,UMAP0,UMAP1
allari naresh,allari naresh,0,7.9027295,7.929388
anushka shetty,anushka shetty,0,8.217672,8.655229
arti agarwal,arti agarwal,0,7.697187,8.486831
auli'i cravalho dwayne johnson,auli'i cravalho dwayne johnson,0,7.8237715,8.841336
balakrishna nandamuri,balakrishna nandamuri,0,8.139361,9.053206
bharath gopi,bharath gopi,0,7.908543,8.036203
bhaskara s. narayanan,bhaskara s.narayanan,0,8.159344,9.114395
bhoomika chawla,bhoomika chawla,0,7.9576654,8.650612
biju menon,biju menon,0,7.929209,8.192469
biodrama on alice robitaille,biodrama on alice robitaille,0,7.588861,8.610993
buddy cop,buddy cop,0,7.602486,7.993699
chanchal chowdhury masuma rahman nabila partha barua,chanchal chowdhury masuma rahman nabila partha barua,0,7.823059,8.151641
charlie chan,charlie chan,0,8.313513,8.602491
charmy kaur,charmy kaur,0,8.273124,8.598313
debashree roy,debashree roy,0,7.5605326,7.403184
genelia d'souza,genelia d'souza,0,8.222401,9.133773
ileana d'cruz,ileana d'cruz,0,8.125792,9.1381235
indira amperiani,indira amperiani,0,7.9267745,8.615011
jagapati babu,jagapati babu,0,7.71661,7.7759576
james bond,james bond,0,7.9569297,8.0163
jidai-geki,jidai-geki,0,8.034126,9.024101
kaiju eiga,kaiju eiga,0,7.611883,8.520905
kalyan ram,kalyan ram,0,8.124352,8.153818
kamalinee mukherjee,kamalinee mukherjee,0,8.093214,9.1663885
kamalini mukherjee,kamalini mukherjee,0,8.116709,9.153832
ken'ichi maysuyama,ken'ichi maysuyama,0,8.054785,9.024686
kondavalasa lakshmana rao,kondavalasa lakshmana rao,0,8.004516,8.766023
kota srinivasa rao,kota srinivasa rao,0,7.999607,8.6258545
krishna bhagavaan,krishna bhagavaan,0,8.150213,9.124381
lee sin-je,lee sin-je,0,7.729984,8.307262
madhu sharma,madhu sharma,0,8.050023,7.930959
mahesh babu,mahesh babu,0,7.9446645,8.020968
meera chopra,meera chopra,0,8.01629,8.070364
mimi chakraborty,mimi chakraborty,0,8.140703,9.200534
mohit ahlawat,mohit ahlawat,0,7.6484575,7.673284
mukesh rishi,mukesh rishi,0,8.112416,8.031466
nadeem-shravan,nadeem-shravan,0,8.1032715,9.144381
nedumudi venu,nedumudi venu,0,7.599983,7.6825066
nusrat faria mazhar,nusrat faria mazhar,0,7.922362,8.38651
nusrat jahan,nusrat jahan,0,7.9651628,8.2361555
oleg sukachenko,oleg sukachenko,0,8.182031,9.180065
olga khokhlova,olga khokhlova,0,8.07344,9.062305
pawan kalyan,pawan kalyan,0,7.924541,8.061783
poonam bajwa,poonam bajwa,0,7.710187,8.621307
prabhu deva,prabhu deva,0,8.082202,8.008755
prakash raj,prakash raj,0,7.809258,8.095058
priyadarshini ram,priyadarshini ram,0,8.156778,8.191939
priyanka kothari,priyanka kothari,0,8.223004,8.760028
radhika joshi,radhika joshi,0,8.222299,8.456897
raghava lawrence,raghava lawrence,0,8.257762,8.685985
rajendra prasad,rajendra prasad,0,8.1244545,8.826149
rajiv kanakala,rajiv kanakala,0,7.797095,8.72744
ravi babu,ravi babu,0,7.7060995,7.7788754
reema sen,reema sen,0,7.572604,7.617962
reese witherspoon scarlett johansson,reese witherspoon scarlett johansson,0,7.808678,8.744891
roman porno,roman porno,0,7.6041274,8.013188
saloni aswani,saloni aswani,0,7.7428665,8.05545
sameera reddy,sameera reddy,0,7.7998815,7.89577
samskruti shenoy,samskruti shenoy,0,8.171337,8.790626
sergey krapiventsev,sergey krapiventsev,0,8.175116,9.172922
shraddha das,shraddha das,0,8.011178,7.894623
shriya reddy,shriya reddy,0,8.310937,8.627344
shriya saran,shriya saran,0,8.218542,8.47154
siddharth narayan,siddharth narayan,0,8.294804,8.653999
sindhu tolani,sindhu tolani,0,7.6719947,7.875459
siva balaji,siva balaji,0,7.635171,7.865102
sonu sood,sonu sood,0,7.905041,8.030727
tapas paul,tapas paul,0,7.935461,7.9160867
trisha krishnan,trisha krishnan,0,8.207541,9.187456
uday kiran,uday kiran,0,7.793116,8.344993
venu madhav,venu madhav,0,7.6561623,7.6800766
vimala raman,vimala raman,0,8.103816,8.276888
viswendar reddy,viswendar reddy,0,7.881972,8.251434
yash dasgupta,yash dasgupta,0,8.2225,9.092115
yeh saali zindagi,yeh saali zindagi,0,7.5948844,7.6100993
yuen lai-kei,yuen lai-kei,0,7.997037,9.05638
 worldwar i drama, worldwar i drama,1,0.9760326,5.5363545
 worldwar ii action, worldwar ii action,1,0.8511462,5.320192
 worldwar ii comedy, worldwar ii comedy,1,0.8093121,5.3236995
 worldwar ii documentary, worldwar ii documentary,1,0.9264742,5.4418254
 worldwar ii drama, worldwar ii drama,1,0.86716044,5.3693776
 worldwar ii drama documentary, worldwar ii drama documentary,1,0.8796928,5.476922
 worldwar1 propaganda, worldwar1 propaganda,1,-0.33862546,4.7123775
action adventure,action adventure,1,-0.66178674,6.550392
action comedy,action comedy,1,0.09618103,4.7595444
action drama,action drama,1,0.12344629,5.67335
action fantasy,action fantasy,1,-0.6689532,6.640742
action romance,action romance,1,-0.19552842,6.4855976
adult comedy,adult comedy,1,0.15842628,4.8371096
adult drama,adult drama,1,0.2835401,5.7680655
adult romance,adult romance,1,-0.1540534,6.361193
adventure drama,adventure drama,1,-0.49794686,5.776396
adventure fantasy,adventure fantasy,1,-0.80273396,6.6441402
aids drama,aid drama,1,0.32259506,5.3327756
animation adventure,animation adventure,1,-0.54836273,6.591434
animation comedy,animation comedy,1,-0.68605113,5.338782
animation comedy family,animation comedy family,1,-0.9648782,5.142852
animation drama,animation drama,1,-0.7022609,5.6341124
animation fantasy,animation fantasy,1,-0.7019416,6.69023
anime drama,anime drama,1,-0.85176706,5.509955
anime fantasy,anime fantasy,1,-0.85816824,6.568606
anime war drama,anime war drama,1,1.1983703,5.6393294
art house,art house,1,0.49960363,6.013061
biker drama,biker drama,1,0.05130546,5.720635
boxing drama,boxing drama,1,0.099555805,5.533406
british-german co-production,british-german co-production,1,0.5918814,4.970121
buddy comedy,buddy comedy,1,0.12214031,5.1011415
campus drama,campus drama,1,0.32121673,5.964923
children adventure,child adventure,1,-0.44274044,6.3804474
children drama,child drama,1,-0.5694497,5.8239484
clay animation,clay animation,1,0.79151964,6.0347896
cold war,cold war,1,0.7666184,5.185031
computer animated,computer animate,1,0.8644093,6.0478644
computer animation,computer animation,1,0.60648745,6.0616884
costume action,costume action,1,-0.86582583,5.9459696
costume comedy,costume comedy,1,-0.56165457,5.3638783
costume drama,costume drama,1,-0.77824473,5.7697053
costume fantasy,costume fantasy,1,-0.75543475,6.603475
crime comedy,crime comedy,1,-0.21448451,5.3325725
crime drama,crime drama,1,0.04025869,5.878625
crime fiction,crime fiction,1,-0.13348395,5.9996057
crime melodrama,crime melodrama,1,-1.2248507,5.5117188
crime mystery,crime mystery,1,-0.10285326,6.0321503
crime romance,crime romance,1,-0.26840493,6.320851
crime social drama,crime social drama,1,-1.024944,4.836837
crime social romance,crime social romance,1,-0.8813103,4.7871737
crime ttriller,crime ttriller,1,0.1238501,5.1252127
cult drama,cult drama,1,0.41079667,5.9808884
dance drama,dance drama,1,-0.6628026,5.8137045
docufiction drama,docufiction drama,1,-0.7748344,5.7041507
documentary drama,documentary drama,1,-1.0439919,5.624836
drama anthology,drama anthology,1,-0.13979329,5.44022
drama documentary,drama documentary,1,-0.8991778,5.6495924
drama family,drama family,1,-0.8442988,5.0922074
famil drama,famil drama,1,-0.15936032,5.7426276
family adventure,family adventure,1,-0.09914627,6.406906
family comedy,family comedy,1,-0.008298487,5.110096
family drama,family drama,1,0.2950692,5.9253654
family melodrama,family melodrama,1,-0.48876876,5.7005334
family romance,family romance,1,-0.0491507,6.456604
family social drama,family social drama,1,-0.8415071,4.9203167
feature animation,feature animation,1,0.51302594,6.07848
gangster drama,gangster drama,1,0.16278669,5.0969987
hockey drama,hockey drama,1,-0.4830709,5.82361
holocaust melodrama,holocaust melodrama,1,-1.2808533,5.4870815
horror comedy,horror comedy,1,-0.57181406,5.2753983
horror drama,horror drama,1,-0.5883865,5.734242
horror mystery,horror mystery,1,-0.36334124,6.054751
horror spoof,horror spoof,1,-0.8066803,5.179841
huangmei opera,huangmei opera,1,0.77194506,5.563109
inuit drama,inuit drama,1,0.53849924,4.8624578
korean war,korean war,1,0.83566654,5.240366
